Material 1,Material 2,Material 3,Material 4,Material 5,Material 6,Material 7,Material 8,Material 9
508.4,549.9,584.2,21,542.1,512,668.3,516.1,586
502.5,491.3,525.3,190,512.7,497.8,550.7,497.1,485.6
503.2,498.1,531.9,358,515.9,499.5,563.7,499.4,496.8
506.7,533.8,567.4,907,533.7,508.2,634.9,511,557.5
505.2,518.9,552.4,364,526.2,504.7,604.9,506.2,531.9
488.5,334.3,385,840,442.5,452.1,269.9,437.2,255.6
503.9,504.9,538.5,428,519.3,501.2,577.1,501.6,508.2
506,526.2,559.8,956,529.9,506.4,619.6,508.6,544.4
497.5,437.1,474.7,535,487.3,483.5,449.3,478.1,399.7
501.3,478,512.6,266,506.3,494.4,525.1,492.6,463.9
480.4,239.7,304,178,402,416,108,391.3,146.8
483.6,276,335.5,596,417.8,431,171,410.2,185.8
498.1,444.2,481.1,52,490.5,485.4,462.2,480.7,410.5
485.6,300.2,356,270,428,440.1,212.1,421.8,213.6
512.8,590.8,628.2,425,564.1,521.3,756.3,528.6,660.3
495.5,414.8,454.6,103,477.3,477.2,409.2,469.8,366.3
500.6,471.3,506.3,760,503.1,492.7,512.5,490.3,453.2
491.6,370.4,415.8,605,457.9,463.9,331.7,452.4,303.3
493.3,389.7,432.6,250,466.3,469.8,365.1,460.1,330.1
499.4,457.9,493.7,281,496.9,489.1,487.5,485.6,431.9
511.5,578.8,615,501,557.5,518.6,730.1,525,638.2
507.6,541.6,575.5,346,537.8,510.1,651.1,513.5,571.3
509.3,558.8,593.5,451,546.7,514.1,686.9,518.9,601.7
496.8,429.9,468.1,405,484.1,481.5,436.3,475.5,388.8
501.9,484.7,518.9,415,509.5,496.1,537.8,494.8,474.7
519.6,649.2,696,837,598,533.7,892,545.5,772.6
516.4,622.7,664.5,685,582.2,528.2,829,537.9,720.8
496.1,422.5,461.5,579,480.7,479.4,422.9,472.7,377.6
504.5,511.8,545.4,421,522.7,502.9,590.8,503.9,519.9
490.7,359.6,406.5,263,453.3,460.4,313.1,448,288.6
489.6,347.7,396.4,196,448.2,456.6,292.7,443,272.9
494,398.5,440.2,561,470.1,472.4,380.4,463.6,342.6
514.4,604.8,644,463,572,524.4,787.9,532.8,686.7
492.4,380.4,424.5,448,462.2,467,348.9,456.5,317
510.4,568.3,603.6,657,551.8,516.3,707.3,521.8,619
494.8,406.8,447.6,1000,473.8,474.9,395.1,466.8,354.6
500,464.7,500,139,500,490.9,500,487.9,442.5
498.7,451.1,487.4,426,493.7,487.3,474.9,483.1,421.2
487.2,318.8,371.8,739,435.9,446.8,243.7,430.3,236.2
